mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.4,"14 km S of Trapper Creek, Alaska",1669688359565,1669688496917,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022far9jro,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022far9jro&format=geojson,,,,,automatic,0,30,ak,022far9jro,",ak022far9jro,",",ak,",",origin,phase-data,",,,0.36,,ml,earthquake,"M 1.4 - 14 km S of Trapper Creek, Alaska"
1.1,"9km NE of Coso Junction, CA",1669688170080,1669841310177,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382120,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382120&format=geojson,,,,,reviewed,0,19,ci,40382120,",ci40382120,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.02073,0.06,112.0,ml,earthquake,"M 1.1 - 9km NE of Coso Junction, CA"
1.6,"29 km SE of Minto, Alaska",1669688123952,1669688249841,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022far8p8r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022far8p8r&format=geojson,,,,,automatic,0,39,ak,022far8p8r,",ak022far8p8r,",",ak,",",origin,phase-data,",,,1.02,,ml,earthquake,"M 1.6 - 29 km SE of Minto, Alaska"
1.9,"55 km S of Whites City, New Mexico",1669687676982,1669941570484,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022xitg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022xitg&format=geojson,,,,,reviewed,0,56,tx,2022xitg,",tx2022xitg,",",tx,",",origin,phase-data,",19.0,0.02495047814,0.2,81.0,ml,earthquake,"M 1.9 - 55 km S of Whites City, New Mexico"
0.63,"12km WNW of Anza, CA",1669687351960,1669761706485,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382112,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382112&format=geojson,,,,,reviewed,0,6,ci,40382112,",ci40382112,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03465,0.11,109.0,ml,earthquake,"M 0.6 - 12km WNW of Anza, CA"
2.5,"32 km NNW of P?hala, Hawaii",1669687338020,1669757038040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243432,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243432&format=geojson,,,,,automatic,0,96,hv,73243432,",us7000it58,hv73243432,",",us,hv,",",origin,phase-data,",38.0,,0.200000003,41.0,ml,earthquake,"M 2.5 - 32 km NNW of P?hala, Hawaii"
1.72000003,"Island of Hawaii, Hawaii",1669686279410,1669686465520,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243407&format=geojson,,,,,automatic,0,46,hv,73243407,",hv73243407,",",hv,",",origin,phase-data,",24.0,,0.25999999,122.0,md,earthquake,"M 1.7 - Island of Hawaii, Hawaii"
1.23,"4km S of Redlands, CA",1669685952990,1669761408670,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382104,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382104&format=geojson,,,,,reviewed,0,23,ci,40382104,",ci40382104,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",33.0,0.05659,0.12,87.0,ml,earthquake,"M 1.2 - 4km S of Redlands, CA"
2.6,"Island of Hawaii, Hawaii",1669685168570,1669756420040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243367,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243367&format=geojson,,,,,reviewed,0,104,hv,73243367,",us7000it57,hv73243367,",",us,hv,",",origin,phase-data,",16.0,,0.21,63.0,md,earthquake,"M 2.6 - Island of Hawaii, Hawaii"
0.31,"72 km SW of Skwentna, Alaska",1669685158120,1669782904090,,https://earthquake.usgs.gov/earthquakes/eventpage/av91723371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91723371&format=geojson,,,,,reviewed,0,1,av,91723371,",av91723371,",",av,",",origin,phase-data,",5.0,,0.14,230.0,ml,earthquake,"M 0.3 - 72 km SW of Skwentna, Alaska"
2.13,"0 km ENE of Palmarejo, Puerto Rico",1669685117110,1669686348530,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71384433,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71384433&format=geojson,,,,,reviewed,0,70,pr,71384433,",pr71384433,",",pr,",",origin,phase-data,",11.0,0.008427,0.08,106.0,md,earthquake,"M 2.1 - 0 km ENE of Palmarejo, Puerto Rico"
2.21,"24 km WNW of Volcano, Hawaii",1669685112770,1669687240720,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243362,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243362&format=geojson,,,,,reviewed,0,75,hv,73243362,",hv73243362,",",hv,",",origin,phase-data,",34.0,,0.15,64.0,md,earthquake,"M 2.2 - 24 km WNW of Volcano, Hawaii"
0.17,"3km NW of The Geysers, CA",1669684842720,1669708756494,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812576,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812576&format=geojson,,,,,reviewed,0,0,nc,73812576,",nc73812576,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.009934,0.02,75.0,md,earthquake,"M 0.2 - 3km NW of The Geysers, CA"
2.1,"23 km WNW of Volcano, Hawaii",1669684840110,1669689511340,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243352,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243352&format=geojson,,,,,reviewed,0,68,hv,73243352,",hv73243352,",",hv,",",origin,phase-data,",21.0,,0.21,110.0,md,earthquake,"M 2.1 - 23 km WNW of Volcano, Hawaii"
0.65,Alaska Peninsula,1669684729350,1669839150470,,https://earthquake.usgs.gov/earthquakes/eventpage/av91078008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91078008&format=geojson,,,,,reviewed,0,6,av,91078008,",av91078008,",",av,",",origin,phase-data,",5.0,,0.22,250.0,ml,earthquake,M 0.7 - Alaska Peninsula
-0.2,"46 km WNW of Indian Springs, Nevada",1669684683200,1669735957949,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00852223,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00852223&format=geojson,,,,,reviewed,0,0,nn,00852223,",nn00852223,",",nn,",",origin,phase-data,",4.0,0.018,0.0508,138.23,ml,earthquake,"M -0.2 - 46 km WNW of Indian Springs, Nevada"
1.4,"50 km SSW of Cantwell, Alaska",1669684655329,1669684755086,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022faqnpy4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022faqnpy4&format=geojson,,,,,automatic,0,30,ak,022faqnpy4,",ak022faqnpy4,",",ak,",",origin,phase-data,",,,0.48,,ml,earthquake,"M 1.4 - 50 km SSW of Cantwell, Alaska"
2.1400001,"13 km WNW of Volcano, Hawaii",1669684594100,1669684786230,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243347,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243347&format=geojson,,,,,automatic,0,70,hv,73243347,",hv73243347,",",hv,",",origin,phase-data,",9.0,,0.129999995,225.0,md,earthquake,"M 2.1 - 13 km WNW of Volcano, Hawaii"
2.47,"31 km NNW of P?hala, Hawaii",1669684588280,1669684920270,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243342,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243342&format=geojson,,,,,automatic,0,94,hv,73243342,",hv73243342,",",hv,",",origin,phase-data,",30.0,,0.25999999,63.0,ml,earthquake,"M 2.5 - 31 km NNW of P?hala, Hawaii"
1.48,"93 km W of Adak, Alaska",1669683942050,1669782697140,,https://earthquake.usgs.gov/earthquakes/eventpage/av91723366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91723366&format=geojson,,,,,reviewed,0,34,av,91723366,",av91723366,",",av,",",origin,phase-data,",6.0,,0.25,112.0,ml,earthquake,"M 1.5 - 93 km W of Adak, Alaska"
-0.2,"45 km WNW of Indian Springs, Nevada",1669683840301,1669735770183,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00852222,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00852222&format=geojson,,,,,reviewed,0,0,nn,00852222,",nn00852222,",",nn,",",origin,phase-data,",3.0,0.016,0.0134,220.36,ml,earthquake,"M -0.2 - 45 km WNW of Indian Springs, Nevada"
1.98,"32 km WNW of Volcano, Hawaii",1669683317340,1669685707610,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243312,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243312&format=geojson,,,,,reviewed,0,60,hv,73243312,",hv73243312,",",hv,",",origin,phase-data,",34.0,,0.26,52.0,md,earthquake,"M 2.0 - 32 km WNW of Volcano, Hawaii"
1.48,"3km SSE of Frazier Park, CA",1669683134510,1669761092034,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382096,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382096&format=geojson,,,,,reviewed,0,34,ci,40382096,",ci40382096,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.04223,0.19,67.0,ml,earthquake,"M 1.5 - 3km SSE of Frazier Park, CA"
0.38,"4km W of Cobb, CA",1669683099390,1669793291810,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812571,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812571&format=geojson,,,,,reviewed,0,2,nc,73812571,",nc73812571,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.008423,0.02,114.0,md,earthquake,"M 0.4 - 4km W of Cobb, CA"
0.85,"8km WNW of Cobb, CA",1669682789530,1669684994136,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812561,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812561&format=geojson,,,,,automatic,0,11,nc,73812561,",nc73812561,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.01394,0.01,79.0,md,earthquake,"M 0.9 - 8km WNW of Cobb, CA"
0.76,Utah,1669682652410,1669736343910,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60526537,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60526537&format=geojson,,,,,reviewed,0,9,uu,60526537,",uu60526537,",",uu,",",origin,phase-data,",7.0,0.09745,0.08,94.0,md,earthquake,M 0.8 - Utah
0.72,,1669682442920,1669782431210,,https://earthquake.usgs.gov/earthquakes/eventpage/av91723356,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91723356&format=geojson,,,,,reviewed,0,8,av,91723356,",av91723356,",",av,",",origin,phase-data,",5.0,,0.18,196.0,ml,earthquake,M 0.7 - 
2.85,"Island of Hawaii, Hawaii",1669681886150,1669683788170,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243262,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243262&format=geojson,,,,,reviewed,0,125,hv,73243262,",us7000it4x,hv73243262,",",us,hv,",",origin,phase-data,",46.0,,0.2,40.0,ml,earthquake,"M 2.9 - Island of Hawaii, Hawaii"
1.89999998,"28 km WNW of Volcano, Hawaii",1669681748590,1669681951350,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243257,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243257&format=geojson,,,,,automatic,0,56,hv,73243257,",hv73243257,",",hv,",",origin,phase-data,",23.0,,0.379999995,87.0,md,earthquake,"M 1.9 - 28 km WNW of Volcano, Hawaii"
2.64,"32 km E of Honaunau-Napoopoo, Hawaii",1669681504980,1669682946480,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243247,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243247&format=geojson,,,,,reviewed,0,107,hv,73243247,",hv73243247,",",hv,",",origin,phase-data,",42.0,,0.2,44.0,md,earthquake,"M 2.6 - 32 km E of Honaunau-Napoopoo, Hawaii"
1.06,"16km E of Seven Trees, CA",1669681328480,1669827313302,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812541,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812541&format=geojson,,,,,reviewed,0,17,nc,73812541,",nc73812541,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.03657,0.05,51.0,md,earthquake,"M 1.1 - 16km E of Seven Trees, CA"
1.73,"2km NW of Anderson Springs, CA",1669681272770,1669862173785,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812536,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812536&format=geojson,,,,,reviewed,0,46,nc,73812536,",nc73812536,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",45.0,0.006466,0.06,60.0,md,earthquake,"M 1.7 - 2km NW of Anderson Springs, CA"
3.5,"210 km SSW of Adak, Alaska",1669681066307,1669705813510,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022faq2beh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022faq2beh&format=geojson,,,2.344,,reviewed,0,188,ak,022faq2beh,",ak022faq2beh,",",ak,",",origin,phase-data,shakemap,",,,0.79,,ml,earthquake,"M 3.5 - 210 km SSW of Adak, Alaska"
2.79,"27 km W of Volcano, Hawaii",1669680778900,1669682081500,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243232,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243232&format=geojson,,,,,reviewed,0,120,hv,73243232,",hv73243232,",",hv,",",origin,phase-data,",37.0,,0.12,60.0,md,earthquake,"M 2.8 - 27 km W of Volcano, Hawaii"
1.7,Southern Alaska,1669680685791,1669681364159,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022faq0zb7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022faq0zb7&format=geojson,1.0,2.2,,,automatic,0,45,ak,022faq0zb7,",ak022faq0zb7,",",ak,",",dyfi,origin,phase-data,",,,0.39,,ml,earthquake,M 1.7 - Southern Alaska
2.1,"49 km SE of Pedro Bay, Alaska",1669680052964,1669681692040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fapyojb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fapyojb&format=geojson,,,,,automatic,0,68,ak,022fapyojb,",us7000it4s,ak022fapyojb,",",us,ak,",",origin,phase-data,",,,0.38,,ml,earthquake,"M 2.1 - 49 km SE of Pedro Bay, Alaska"
2.5,"32 km E of Honaunau-Napoopoo, Hawaii",1669679594650,1669680886470,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243187,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243187&format=geojson,,,,,reviewed,0,96,hv,73243187,",hv73243187,",",hv,",",origin,phase-data,",41.0,,0.18,44.0,md,earthquake,"M 2.5 - 32 km E of Honaunau-Napoopoo, Hawaii"
4.6,"93 km W of San Antonio, Chile",1669679346258,1669738663765,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000it4q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000it4q&format=geojson,1.0,2.0,,,reviewed,0,326,us,7000it4q,",us7000it4q,",",us,",",dyfi,moment-tensor,origin,phase-data,",42.0,0.834,0.66,79.0,mwr,earthquake,"M 4.6 - 93 km W of San Antonio, Chile"
1.82,"30 km E of Honaunau-Napoopoo, Hawaii",1669678895420,1669680322020,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243162,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243162&format=geojson,,,,,reviewed,0,51,hv,73243162,",hv73243162,",",hv,",",origin,phase-data,",31.0,,0.27,50.0,md,earthquake,"M 1.8 - 30 km E of Honaunau-Napoopoo, Hawaii"
1.25,"12km N of Victorville, CA",1669677726640,1669841122970,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382088,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382088&format=geojson,,,,,reviewed,0,24,ci,40382088,",ci40382088,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.09581,0.24,199.0,ml,quarry blast,"M 1.3 Quarry Blast - 12km N of Victorville, CA"
-0.55,"72 km NW of Ninilchik, Alaska",1669677619270,1669776654420,,https://earthquake.usgs.gov/earthquakes/eventpage/av91077978,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91077978&format=geojson,,,,,reviewed,0,0,av,91077978,",av91077978,",",av,",",origin,phase-data,",5.0,,0.08,246.0,ml,earthquake,"M -0.6 - 72 km NW of Ninilchik, Alaska"
2.05,"27 km SSW of Port Alberni, Canada",1669677496340,1669684738750,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61896521,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61896521&format=geojson,,,,,reviewed,0,65,uw,61896521,",uw61896521,",",uw,",",origin,phase-data,",12.0,0.2217,0.38,115.0,ml,earthquake,"M 2.1 - 27 km SSW of Port Alberni, Canada"
-0.4,"85 km NNW of Karluk, Alaska",1669677438160,1669778511040,,https://earthquake.usgs.gov/earthquakes/eventpage/av91077993,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91077993&format=geojson,,,,,reviewed,0,0,av,91077993,",av91077993,",",av,",",origin,phase-data,",5.0,,0.2,102.0,ml,earthquake,"M -0.4 - 85 km NNW of Karluk, Alaska"
-0.45,"85 km NNW of Karluk, Alaska",1669677421280,1669778373370,,https://earthquake.usgs.gov/earthquakes/eventpage/av91077988,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91077988&format=geojson,,,,,reviewed,0,0,av,91077988,",av91077988,",",av,",",origin,phase-data,",4.0,,0.17,136.0,ml,earthquake,"M -0.5 - 85 km NNW of Karluk, Alaska"
4.6,"88 km NE of Calama, Chile",1669677103099,1669697225040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000it4h,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000it4h&format=geojson,,,,,reviewed,0,326,us,7000it4h,",us7000it4h,",",us,",",origin,phase-data,",43.0,0.751,1.06,49.0,mb,earthquake,"M 4.6 - 88 km NE of Calama, Chile"
2.58,"30 km N of P?hala, Hawaii",1669676820190,1669678211590,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243082,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243082&format=geojson,,,,,reviewed,0,102,hv,73243082,",us7000it4f,hv73243082,",",us,hv,",",origin,phase-data,",40.0,,0.22,62.0,md,earthquake,"M 2.6 - 30 km N of P?hala, Hawaii"
1.98000002,"11 km NE of P?hala, Hawaii",1669676666760,1669676855300,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243077,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243077&format=geojson,,,,,automatic,0,60,hv,73243077,",hv73243077,",",hv,",",origin,phase-data,",28.0,,0.0900000036,123.0,md,earthquake,"M 2.0 - 11 km NE of P?hala, Hawaii"
1.88,"31 km E of Honaunau-Napoopoo, Hawaii",1669675835990,1669676117790,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243042,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243042&format=geojson,,,,,automatic,0,54,hv,73243042,",hv73243042,",",hv,",",origin,phase-data,",24.0,,0.349999994,56.0,md,earthquake,"M 1.9 - 31 km E of Honaunau-Napoopoo, Hawaii"
0.58,"7 km SE of Unalaska, Alaska",1669675811190,1669776061180,,https://earthquake.usgs.gov/earthquakes/eventpage/av91077973,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91077973&format=geojson,,,,,reviewed,0,5,av,91077973,",av91077973,",",av,",",origin,phase-data,",6.0,,0.15,308.0,ml,earthquake,"M 0.6 - 7 km SE of Unalaska, Alaska"
2.6,,1669675517428,1669701326185,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000it46,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000it46&format=geojson,3.0,4.2,,,reviewed,0,105,us,7000it46,",us7000it46,",",us,",",dyfi,origin,phase-data,",20.0,0.676,0.28,125.0,mb_lg,earthquake,M 2.6 - 
3.01,"32 km E of Honaunau-Napoopoo, Hawaii",1669675431950,1669689782040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243022,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243022&format=geojson,,,,,reviewed,0,139,hv,73243022,",us7000it47,hv73243022,",",us,hv,",",origin,phase-data,",19.0,,0.13,63.0,ml,earthquake,"M 3.0 - 32 km E of Honaunau-Napoopoo, Hawaii"
1.13,"9km SSW of Ridgemark, CA",1669675326620,1669857253289,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812516,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812516&format=geojson,,,,,reviewed,0,20,nc,73812516,",nc73812516,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.02864,0.08,177.0,md,earthquake,"M 1.1 - 9km SSW of Ridgemark, CA"
0.59,"23 km ENE of Ashford, Washington",1669675286990,1669684317980,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61896506,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61896506&format=geojson,,,,,reviewed,0,5,uw,61896506,",uw61896506,",",uw,",",origin,phase-data,",17.0,0.01434,0.07,62.0,ml,earthquake,"M 0.6 - 23 km ENE of Ashford, Washington"
2.79,"33 km E of Honaunau-Napoopoo, Hawaii",1669675023300,1669678121310,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243017,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243017&format=geojson,,,,,reviewed,0,120,hv,73243017,",hv73243017,",",hv,",",origin,phase-data,",24.0,,0.17,76.0,md,earthquake,"M 2.8 - 33 km E of Honaunau-Napoopoo, Hawaii"
0.27,Alaska Peninsula,1669674891170,1669774698060,,https://earthquake.usgs.gov/earthquakes/eventpage/av91723331,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91723331&format=geojson,,,,,reviewed,0,1,av,91723331,",av91723331,",",av,",",origin,phase-data,",12.0,,0.08,56.0,ml,earthquake,M 0.3 - Alaska Peninsula
2.08,"Island of Hawaii, Hawaii",1669674718010,1669696346040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73243002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73243002&format=geojson,,,,,reviewed,0,67,hv,73243002,",us7000it44,hv73243002,",",us,hv,",",origin,phase-data,",40.0,,0.18,49.0,md,earthquake,"M 2.1 - Island of Hawaii, Hawaii"
2.7,"32 km E of Honaunau-Napoopoo, Hawaii",1669674502490,1669676874380,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73242992,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73242992&format=geojson,,,,,reviewed,0,112,hv,73242992,",us7000it40,hv73242992,",",us,hv,",",origin,phase-data,",32.0,,0.21,56.0,md,earthquake,"M 2.7 - 32 km E of Honaunau-Napoopoo, Hawaii"
5.1,"Seram, Indonesia",1669674400366,1669675498040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000it43,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000it43&format=geojson,,,,,reviewed,0,400,us,7000it43,",us7000it43,",",us,",",origin,phase-data,",57.0,2.453,0.45,56.0,mb,earthquake,"M 5.1 - Seram, Indonesia"
2.38,"28 km W of Volcano, Hawaii",1669674071340,1669677238080,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73242967,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73242967&format=geojson,,,,,reviewed,0,87,hv,73242967,",hv73242967,",",hv,",",origin,phase-data,",22.0,,0.24,77.0,md,earthquake,"M 2.4 - 28 km W of Volcano, Hawaii"
2.47,"33 km W of Volcano, Hawaii",1669673859090,1669678380040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73242962,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73242962&format=geojson,,,,,automatic,0,94,hv,73242962,",us7000it3w,hv73242962,",",us,hv,",",origin,phase-data,",36.0,,0.230000004,72.0,ml,earthquake,"M 2.5 - 33 km W of Volcano, Hawaii"
1.76,"31 km E of Honaunau-Napoopoo, Hawaii",1669673600600,1669675200500,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73242942,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73242942&format=geojson,,,,,reviewed,0,48,hv,73242942,",hv73242942,",",hv,",",origin,phase-data,",11.0,,0.14,97.0,md,earthquake,"M 1.8 - 31 km E of Honaunau-Napoopoo, Hawaii"
2.05999994,"30 km W of Volcano, Hawaii",1669673506670,1669673707800,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73242932,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73242932&format=geojson,,,,,automatic,0,65,hv,73242932,",hv73242932,",",hv,",",origin,phase-data,",34.0,,0.280000001,71.0,md,earthquake,"M 2.1 - 30 km W of Volcano, Hawaii"
1.83,"11 km S of Princeton, Canada",1669673485600,1669683951870,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61896496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61896496&format=geojson,,,,,reviewed,0,52,uw,61896496,",uw61896496,",",uw,",",origin,phase-data,",3.0,0.5787,0.01,213.0,ml,explosion,"M 1.8 Explosion - 11 km S of Princeton, Canada"
0.36,"9km WNW of Cobb, CA",1669673448650,1669674071176,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812496&format=geojson,,,,,automatic,0,2,nc,73812496,",nc73812496,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.008861,0.01,88.0,md,earthquake,"M 0.4 - 9km WNW of Cobb, CA"
1.4,"54 km SSW of South Van Horn, Alaska",1669673437465,1669673552773,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f9fkzb6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f9fkzb6&format=geojson,,,,,automatic,0,30,ak,022f9fkzb6,",ak022f9fkzb6,",",ak,",",origin,phase-data,",,,0.96,,ml,earthquake,"M 1.4 - 54 km SSW of South Van Horn, Alaska"
0.86,"9km WNW of Cobb, CA",1669673424150,1669682352976,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73812491,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73812491&format=geojson,,,,,automatic,0,11,nc,73812491,",nc73812491,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.008065,0.01,93.0,md,earthquake,"M 0.9 - 9km WNW of Cobb, CA"
2.2,"8 km NE of Toyah, Texas",1669673414165,1669684951884,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022xilk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022xilk&format=geojson,,,,,reviewed,0,74,tx,2022xilk,",tx2022xilk,",",tx,",",origin,phase-data,",34.0,0.1159580147,0.3,45.0,ml,earthquake,"M 2.2 - 8 km NE of Toyah, Texas"
1.69,"8km N of Rancho Cucamonga, CA",1669673209160,1669760374940,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382072,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382072&format=geojson,,,,,reviewed,0,44,ci,40382072,",ci40382072,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",57.0,0.07696,0.16,28.0,ml,earthquake,"M 1.7 - 8km N of Rancho Cucamonga, CA"
